symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMD,2018-07-18 00:00:00+00:00,16.85,16.99,16.55,16.94,40881493,16.85,16.99,16.55,16.94,40881493,0.0,1.0
AMD,2018-07-19 00:00:00+00:00,16.71,16.88,16.55,16.71,41267829,16.71,16.88,16.55,16.71,41267829,0.0,1.0
AMD,2018-07-20 00:00:00+00:00,16.5,16.88,16.44,16.66,42906009,16.5,16.88,16.44,16.66,42906009,0.0,1.0
AMD,2018-07-23 00:00:00+00:00,16.66,16.68,15.9,16.47,44940819,16.66,16.68,15.9,16.47,44940819,0.0,1.0
AMD,2018-07-24 00:00:00+00:00,16.19,16.86,16.11,16.75,58201458,16.19,16.86,16.11,16.75,58201458,0.0,1.0
AMD,2018-07-25 00:00:00+00:00,16.05,16.39,15.72,16.3,83639684,16.05,16.39,15.72,16.3,83639684,0.0,1.0
AMD,2018-07-26 00:00:00+00:00,18.35,18.45,16.83,17.16,192661124,18.35,18.45,16.83,17.16,192661124,0.0,1.0
AMD,2018-07-27 00:00:00+00:00,18.94,19.88,18.31,19.07,161903789,18.94,19.88,18.31,19.07,161903789,0.0,1.0
AMD,2018-07-30 00:00:00+00:00,19.42,20.18,19.31,19.4,160823407,19.42,20.18,19.31,19.4,160823407,0.0,1.0
AMD,2018-07-31 00:00:00+00:00,18.33,19.5,18.27,19.35,118403405,18.33,19.5,18.27,19.35,118403405,0.0,1.0
AMD,2018-08-01 00:00:00+00:00,18.48,18.95,18.32,18.34,75495240,18.48,18.95,18.32,18.34,75495240,0.0,1.0
AMD,2018-08-02 00:00:00+00:00,18.79,18.83,18.0,18.17,52867121,18.79,18.83,18.0,18.17,52867121,0.0,1.0
AMD,2018-08-03 00:00:00+00:00,18.49,19.06,18.37,18.94,53232065,18.49,19.06,18.37,18.94,53232065,0.0,1.0
AMD,2018-08-06 00:00:00+00:00,19.43,19.44,18.46,18.89,83579668,19.43,19.44,18.46,18.89,83579668,0.0,1.0
AMD,2018-08-07 00:00:00+00:00,19.56,19.71,19.08,19.53,72822590,19.56,19.71,19.08,19.53,72822590,0.0,1.0
AMD,2018-08-08 00:00:00+00:00,19.58,19.77,19.26,19.46,52081364,19.58,19.77,19.26,19.46,52081364,0.0,1.0
AMD,2018-08-09 00:00:00+00:00,19.1,19.71,19.08,19.58,46653358,19.1,19.71,19.08,19.58,46653358,0.0,1.0
AMD,2018-08-10 00:00:00+00:00,19.06,19.48,18.85,19.09,65821056,19.06,19.48,18.85,19.09,65821056,0.0,1.0
AMD,2018-08-13 00:00:00+00:00,19.73,19.93,19.12,19.16,81411331,19.73,19.93,19.12,19.16,81411331,0.0,1.0
AMD,2018-08-14 00:00:00+00:00,20.02,20.28,19.63,19.97,89195509,20.02,20.28,19.63,19.97,89195509,0.0,1.0
AMD,2018-08-15 00:00:00+00:00,19.7,20.1,19.2,19.86,86355654,19.7,20.1,19.2,19.86,86355654,0.0,1.0
AMD,2018-08-16 00:00:00+00:00,19.33,20.07,19.25,19.86,69733708,19.33,20.07,19.25,19.86,69733708,0.0,1.0
AMD,2018-08-17 00:00:00+00:00,19.77,19.82,18.73,19.12,60616638,19.77,19.82,18.73,19.12,60616638,0.0,1.0
AMD,2018-08-20 00:00:00+00:00,19.98,20.08,19.35,19.79,62983236,19.98,20.08,19.35,19.79,62983236,0.0,1.0
AMD,2018-08-21 00:00:00+00:00,20.4,20.42,19.86,19.98,55628983,20.4,20.42,19.86,19.98,55628983,0.0,1.0
AMD,2018-08-22 00:00:00+00:00,20.9,20.92,20.21,20.28,62002721,20.9,20.92,20.21,20.28,62002721,0.0,1.0
AMD,2018-08-23 00:00:00+00:00,22.29,22.32,21.14,21.19,113444117,22.29,22.32,21.14,21.19,113444117,0.0,1.0
AMD,2018-08-24 00:00:00+00:00,23.98,24.0,22.67,22.91,164328182,23.98,24.0,22.67,22.91,164328182,0.0,1.0
AMD,2018-08-27 00:00:00+00:00,25.26,27.3,24.63,24.94,325058400,25.26,27.3,24.63,24.94,325058400,0.0,1.0
AMD,2018-08-28 00:00:00+00:00,25.05,26.18,24.04,25.51,215771220,25.05,26.18,24.04,25.51,215771220,0.0,1.0
AMD,2018-08-29 00:00:00+00:00,25.2,25.41,24.01,24.36,143223187,25.2,25.41,24.01,24.36,143223187,0.0,1.0
AMD,2018-08-30 00:00:00+00:00,24.89,25.67,24.76,25.29,103607291,24.89,25.67,24.76,25.29,103607291,0.0,1.0
AMD,2018-08-31 00:00:00+00:00,25.17,25.24,24.72,24.89,65206352,25.17,25.24,24.72,24.89,65206352,0.0,1.0
AMD,2018-09-04 00:00:00+00:00,28.06,28.11,25.57,25.62,192541253,28.06,28.11,25.57,25.62,192541253,0.0,1.0
AMD,2018-09-05 00:00:00+00:00,28.51,29.94,26.84,29.41,257349007,28.51,29.94,26.84,29.41,257349007,0.0,1.0
AMD,2018-09-06 00:00:00+00:00,27.84,28.58,27.19,28.12,143942935,27.84,28.58,27.19,28.12,143942935,0.0,1.0
AMD,2018-09-07 00:00:00+00:00,27.38,28.27,26.8,26.96,123348744,27.38,28.27,26.8,26.96,123348744,0.0,1.0
AMD,2018-09-10 00:00:00+00:00,29.89,29.93,27.84,28.15,162253798,29.89,29.93,27.84,28.15,162253798,0.0,1.0
AMD,2018-09-11 00:00:00+00:00,30.1,30.59,29.37,30.02,159902483,30.1,30.59,29.37,30.02,159902483,0.0,1.0
AMD,2018-09-12 00:00:00+00:00,32.21,32.29,29.45,29.91,197889598,32.21,32.29,29.45,29.91,197889598,0.0,1.0
AMD,2018-09-13 00:00:00+00:00,30.48,34.14,29.87,33.16,304147108,30.48,34.14,29.87,33.16,304147108,0.0,1.0
AMD,2018-09-14 00:00:00+00:00,32.72,33.09,30.54,31.43,217762820,32.72,33.09,30.54,31.43,217762820,0.0,1.0
AMD,2018-09-17 00:00:00+00:00,32.43,33.23,31.6,31.75,180410560,32.43,33.23,31.6,31.75,180410560,0.0,1.0
AMD,2018-09-18 00:00:00+00:00,31.93,33.37,31.2,32.99,176673169,31.93,33.37,31.2,32.99,176673169,0.0,1.0
AMD,2018-09-19 00:00:00+00:00,31.21,31.83,30.51,31.52,124287022,31.21,31.83,30.51,31.52,124287022,0.0,1.0
AMD,2018-09-20 00:00:00+00:00,31.18,32.2,30.64,32.1,123116549,31.18,32.2,30.64,32.1,123116549,0.0,1.0
AMD,2018-09-21 00:00:00+00:00,31.02,32.42,30.91,31.19,129792949,31.02,32.42,30.91,31.19,129792949,0.0,1.0
AMD,2018-09-24 00:00:00+00:00,32.61,32.65,30.91,31.13,118332614,32.61,32.65,30.91,31.13,118332614,0.0,1.0
AMD,2018-09-25 00:00:00+00:00,32.57,33.6,32.19,33.18,118570163,32.57,33.6,32.19,33.18,118570163,0.0,1.0
AMD,2018-09-26 00:00:00+00:00,32.19,32.6,31.72,32.4,79347320,32.19,32.6,31.72,32.4,79347320,0.0,1.0
AMD,2018-09-27 00:00:00+00:00,32.59,32.63,31.39,31.86,87934428,32.59,32.63,31.39,31.86,87934428,0.0,1.0
AMD,2018-09-28 00:00:00+00:00,30.89,32.78,29.98,32.24,165453485,30.89,32.78,29.98,32.24,165453485,0.0,1.0
AMD,2018-10-01 00:00:00+00:00,31.42,31.91,30.25,30.69,94742859,31.42,31.91,30.25,30.69,94742859,0.0,1.0
AMD,2018-10-02 00:00:00+00:00,29.02,30.82,28.65,30.73,145276455,29.02,30.82,28.65,30.73,145276455,0.0,1.0
AMD,2018-10-03 00:00:00+00:00,28.43,29.22,26.54,29.04,190137198,28.43,29.22,26.54,29.04,190137198,0.0,1.0
AMD,2018-10-04 00:00:00+00:00,27.78,28.83,27.37,27.99,95831156,27.78,28.83,27.37,27.99,95831156,0.0,1.0
AMD,2018-10-05 00:00:00+00:00,27.35,28.47,26.93,28.07,88008487,27.35,28.47,26.93,28.07,88008487,0.0,1.0
AMD,2018-10-08 00:00:00+00:00,26.46,27.54,25.96,26.73,103789499,26.46,27.54,25.96,26.73,103789499,0.0,1.0
AMD,2018-10-09 00:00:00+00:00,27.24,27.71,26.0,26.15,105461756,27.24,27.71,26.0,26.15,105461756,0.0,1.0
AMD,2018-10-10 00:00:00+00:00,25.0,27.4,24.91,27.38,147682923,25.0,27.4,24.91,27.38,147682923,0.0,1.0
AMD,2018-10-11 00:00:00+00:00,25.3,26.2,24.55,24.74,147013774,25.3,26.2,24.55,24.74,147013774,0.0,1.0
AMD,2018-10-12 00:00:00+00:00,26.34,26.97,25.67,26.77,111059406,26.34,26.97,25.67,26.77,111059406,0.0,1.0
AMD,2018-10-15 00:00:00+00:00,26.26,26.77,25.75,26.38,70523486,26.26,26.77,25.75,26.38,70523486,0.0,1.0
AMD,2018-10-16 00:00:00+00:00,28.18,28.23,26.17,26.63,92528973,28.18,28.23,26.17,26.63,92528973,0.0,1.0
AMD,2018-10-17 00:00:00+00:00,27.3,28.53,26.92,28.41,89466946,27.3,28.53,26.92,28.41,89466946,0.0,1.0
